edgeid,source,target,date,value,type
508,246,386.0,2020/12/1,1.0,Directed
509,315,611.0,2020/12/1,1.0,Directed
510,374,639.0,2020/12/1,1.0,Directed
511,438,74.0,2020/12/1,1.0,Directed
512,668,526.0,2020/12/1,1.0,Directed
513,141,716.0,2020/12/5,1.0,Directed
514,282,716.0,2020/12/5,1.0,Directed
515,461,716.0,2020/12/5,1.0,Directed
516,1131,716.0,2020/12/5,1.0,Directed
517,522,716.0,2020/12/5,1.0,Directed
518,668,716.0,2020/12/5,1.0,Directed
519,315,559.0,2020/12/6,1.0,Directed
520,246,219.0,2020/12/8,1.0,Directed
521,386,273.0,2020/12/8,1.0,Directed
522,282,717.0,2020/12/12,1.0,Directed
523,381,717.0,2020/12/12,1.0,Directed
524,405,717.0,2020/12/12,1.0,Directed
525,1131,717.0,2020/12/12,1.0,Directed
526,535,717.0,2020/12/12,1.0,Directed
527,663,717.0,2020/12/12,1.0,Directed
528,668,717.0,2020/12/12,1.0,Directed
529,816,718.0,2020/12/13,1.0,Directed
530,175,718.0,2020/12/13,1.0,Directed
531,282,718.0,2020/12/13,1.0,Directed
532,376,718.0,2020/12/13,1.0,Directed
533,1128,718.0,2020/12/13,1.0,Directed
534,1129,718.0,2020/12/13,1.0,Directed
535,656,718.0,2020/12/13,1.0,Directed
536,657,718.0,2020/12/13,1.0,Directed
537,31,719.0,2020/12/17,1.0,Directed
538,31,359.0,2020/12/17,1.0,Directed
539,199,719.0,2020/12/17,1.0,Directed
540,273,719.0,2020/12/17,1.0,Directed
541,282,719.0,2020/12/17,1.0,Directed
542,315,719.0,2020/12/17,1.0,Directed
543,333,719.0,2020/12/17,1.0,Directed
544,356,719.0,2020/12/17,1.0,Directed
545,359,719.0,2020/12/17,1.0,Directed
546,381,719.0,2020/12/17,1.0,Directed
547,386,719.0,2020/12/17,1.0,Directed
548,405,719.0,2020/12/17,1.0,Directed
549,461,719.0,2020/12/17,1.0,Directed
550,1130,719.0,2020/12/17,1.0,Directed
551,1131,719.0,2020/12/17,1.0,Directed
552,535,719.0,2020/12/17,1.0,Directed
553,668,719.0,2020/12/17,1.0,Directed
554,166,720.0,2020/12/18,1.0,Directed
555,285,720.0,2020/12/18,1.0,Directed
556,461,720.0,2020/12/18,1.0,Directed
557,1131,720.0,2020/12/18,1.0,Directed
